n=16,m=3,iterNum=200
scale: 0.1, success: 100, sign.: 0, av.time: 0.475
scale: 0.2, success: 100, sign.: 0, av.time: 0
scale: 0.3, success: 100, sign.: 0, av.time: 0
scale: 0.4, success: 100, sign.: 0, av.time: 0
scale: 0.5, success: 100, sign.: 0, av.time: 0
scale: 0.6, success: 100, sign.: 0, av.time: 0
scale: 0.7, success: 100, sign.: 0, av.time: 0
scale: 0.8, success: 100, sign.: 0, av.time: 0
scale: 0.9, success: 100, sign.: 0, av.time: 0
scale: 1, success: 100, sign.: 0, av.time: 0
scale: 1.1, success: 100, sign.: 0, av.time: 0
scale: 1.2, success: 100, sign.: 0, av.time: 0
scale: 1.3, success: 100, sign.: 0, av.time: 0
scale: 1.4, success: 100, sign.: 0, av.time: 0
scale: 1.5, success: 100, sign.: 0, av.time: 0
scale: 1.6, success: 100, sign.: 0, av.time: 0
scale: 1.7, success: 100, sign.: 0, av.time: 0
scale: 1.8, success: 100, sign.: 0, av.time: 0
scale: 1.9, success: 100, sign.: 0, av.time: 0
scale: 2, success: 100, sign.: 0, av.time: 0
scale: 2.1, success: 100, sign.: 0, av.time: 0
scale: 2.2, success: 100, sign.: 0, av.time: 0
scale: 2.3, success: 100, sign.: 0, av.time: 0
scale: 2.4, success: 100, sign.: 0, av.time: 0
scale: 2.5, success: 100, sign.: 0, av.time: 0
scale: 2.6, success: 100, sign.: 0, av.time: 0
scale: 2.7, success: 100, sign.: 0, av.time: 0
scale: 2.8, success: 100, sign.: 0, av.time: 0.175
scale: 2.9, success: 100, sign.: 0, av.time: 0
scale: 3, success: 100, sign.: 0, av.time: 0
scale: 3.1, success: 100, sign.: 0, av.time: 0.005
scale: 3.2, success: 100, sign.: 0, av.time: 0.295
scale: 3.3, success: 100, sign.: 0, av.time: 0.005
scale: 3.4, success: 100, sign.: 0, av.time: 0
scale: 3.5, success: 100, sign.: 0, av.time: 0
scale: 3.6, success: 100, sign.: 0, av.time: 0
scale: 3.7, success: 100, sign.: 0, av.time: 0
scale: 3.8, success: 100, sign.: 0, av.time: 0
scale: 3.9, success: 100, sign.: 0, av.time: 0
scale: 4, success: 100, sign.: 0, av.time: 0
scale: 4.1, success: 100, sign.: 0.5, av.time: 0
scale: 4.2, success: 100, sign.: 0, av.time: 0
scale: 4.3, success: 99.5, sign.: 0.5, av.time: 0
scale: 4.4, success: 99.5, sign.: 0, av.time: 0
scale: 4.5, success: 100, sign.: 0, av.time: 0
scale: 4.6, success: 99, sign.: 0.5, av.time: 0
scale: 4.7, success: 100, sign.: 0.5, av.time: 0
scale: 4.8, success: 100, sign.: 0.5, av.time: 0
scale: 4.9, success: 100, sign.: 1, av.time: 0
scale: 5, success: 99.5, sign.: 0.5, av.time: 0
